epoch,box,cls,Recall,Precision,mAP@50,mAP
391,1.230,1.446,0.473,0.473,0.506,0.350
392,1.233,1.449,0.471,0.471,0.506,0.350
393,1.230,1.447,0.468,0.468,0.507,0.350
394,1.226,1.444,0.469,0.469,0.507,0.351
395,1.227,1.443,0.470,0.470,0.507,0.351
396,1.228,1.437,0.470,0.470,0.507,0.351
397,1.229,1.442,0.468,0.468,0.507,0.352
398,1.227,1.440,0.469,0.469,0.508,0.352
399,1.228,1.444,0.468,0.468,0.508,0.352
400,1.229,1.438,0.468,0.468,0.509,0.352
401,1.227,1.439,0.469,0.469,0.509,0.353
402,1.227,1.438,0.469,0.469,0.510,0.353
403,1.225,1.434,0.468,0.468,0.510,0.353
404,1.224,1.437,0.467,0.467,0.510,0.354
405,1.224,1.432,0.467,0.467,0.510,0.354
406,1.224,1.428,0.467,0.467,0.510,0.353
407,1.220,1.430,0.466,0.466,0.510,0.354
408,1.227,1.431,0.469,0.469,0.510,0.353
409,1.226,1.430,0.472,0.472,0.510,0.353
410,1.224,1.428,0.472,0.472,0.510,0.354
411,1.223,1.428,0.472,0.472,0.510,0.353
412,1.222,1.426,0.470,0.470,0.510,0.353
413,1.221,1.428,0.469,0.469,0.510,0.353
414,1.220,1.424,0.469,0.469,0.510,0.354
415,1.221,1.425,0.467,0.467,0.509,0.354
416,1.217,1.418,0.468,0.468,0.510,0.354
417,1.216,1.418,0.468,0.468,0.510,0.354
418,1.217,1.416,0.466,0.466,0.510,0.354
419,1.221,1.420,0.466,0.466,0.510,0.354
420,1.215,1.417,0.467,0.467,0.510,0.354
421,1.217,1.416,0.466,0.466,0.510,0.355
422,1.218,1.410,0.466,0.466,0.511,0.355
423,1.213,1.410,0.468,0.468,0.511,0.355
424,1.214,1.409,0.469,0.469,0.511,0.356
425,1.213,1.407,0.468,0.468,0.512,0.356
426,1.212,1.406,0.469,0.469,0.511,0.356
427,1.212,1.409,0.471,0.471,0.512,0.356
428,1.209,1.402,0.474,0.474,0.512,0.356
429,1.211,1.398,0.475,0.475,0.513,0.356
430,1.209,1.405,0.477,0.477,0.513,0.357
431,1.210,1.403,0.476,0.476,0.513,0.356
432,1.212,1.398,0.476,0.476,0.513,0.356
433,1.212,1.396,0.476,0.476,0.514,0.357
434,1.210,1.398,0.477,0.477,0.514,0.357
435,1.206,1.393,0.476,0.476,0.513,0.357
436,1.201,1.389,0.478,0.478,0.514,0.357
437,1.208,1.393,0.478,0.478,0.515,0.357
